FromID,ToID,Relation_value,Relation_type,Relation_Context_ClinicalPhase,Relation_Context_DiseaseArea,Relation_Context_Indication
7,861,dopamine receptor antagonist|serotonin receptor antagonist,MoA,Launched,neurology/psychiatry,schizophrenia|bipolar disorder
97,861,dopamine receptor antagonist|serotonin receptor antagonist,MoA,Launched,neurology/psychiatry,schizophrenia|bipolar disorder
11,861,dopamine receptor antagonist|serotonin receptor antagonist,MoA,Launched,neurology/psychiatry,schizophrenia|bipolar disorder
12,861,dopamine receptor antagonist|serotonin receptor antagonist,MoA,Launched,neurology/psychiatry,schizophrenia|bipolar disorder
13,861,dopamine receptor antagonist|serotonin receptor antagonist,MoA,Launched,neurology/psychiatry,schizophrenia|bipolar disorder
488,861,dopamine receptor antagonist|serotonin receptor antagonist,MoA,Launched,neurology/psychiatry,schizophrenia|bipolar disorder
14,861,dopamine receptor antagonist|serotonin receptor antagonist,MoA,Launched,neurology/psychiatry,schizophrenia|bipolar disorder
867,868,cyclooxygenase inhibitor,MoA,Launched,neurology/psychiatry|endocrinology|dental,headache|fever|toothache|muscle pain
380,868,cyclooxygenase inhibitor,MoA,Launched,neurology/psychiatry|endocrinology|dental,headache|fever|toothache|muscle pain
238,868,cyclooxygenase inhibitor,MoA,Launched,neurology/psychiatry|endocrinology|dental,headache|fever|toothache|muscle pain
869,868,cyclooxygenase inhibitor,MoA,Launched,neurology/psychiatry|endocrinology|dental,headache|fever|toothache|muscle pain
212,868,cyclooxygenase inhibitor,MoA,Launched,neurology/psychiatry|endocrinology|dental,headache|fever|toothache|muscle pain
701,868,cyclooxygenase inhibitor,MoA,Launched,neurology/psychiatry|endocrinology|dental,headache|fever|toothache|muscle pain
702,868,cyclooxygenase inhibitor,MoA,Launched,neurology/psychiatry|endocrinology|dental,headache|fever|toothache|muscle pain
870,868,cyclooxygenase inhibitor,MoA,Launched,neurology/psychiatry|endocrinology|dental,headache|fever|toothache|muscle pain
290,868,cyclooxygenase inhibitor,MoA,Launched,neurology/psychiatry|endocrinology|dental,headache|fever|toothache|muscle pain
871,868,cyclooxygenase inhibitor,MoA,Launched,neurology/psychiatry|endocrinology|dental,headache|fever|toothache|muscle pain
291,868,cyclooxygenase inhibitor,MoA,Launched,neurology/psychiatry|endocrinology|dental,headache|fever|toothache|muscle pain
292,868,cyclooxygenase inhibitor,MoA,Launched,neurology/psychiatry|endocrinology|dental,headache|fever|toothache|muscle pain
872,868,cyclooxygenase inhibitor,MoA,Launched,neurology/psychiatry|endocrinology|dental,headache|fever|toothache|muscle pain
873,868,cyclooxygenase inhibitor,MoA,Launched,neurology/psychiatry|endocrinology|dental,headache|fever|toothache|muscle pain
874,868,cyclooxygenase inhibitor,MoA,Launched,neurology/psychiatry|endocrinology|dental,headache|fever|toothache|muscle pain
174,868,cyclooxygenase inhibitor,MoA,Launched,neurology/psychiatry|endocrinology|dental,headache|fever|toothache|muscle pain
171,868,cyclooxygenase inhibitor,MoA,Launched,neurology/psychiatry|endocrinology|dental,headache|fever|toothache|muscle pain
875,868,cyclooxygenase inhibitor,MoA,Launched,neurology/psychiatry|endocrinology|dental,headache|fever|toothache|muscle pain
761,868,cyclooxygenase inhibitor,MoA,Launched,neurology/psychiatry|endocrinology|dental,headache|fever|toothache|muscle pain
887,888,CFTR channel agonist|dystrophin stimulant,MoA,Launched,genetics|pulmonary,duchenne muscular dystrophy (DMD)|cystic fibrosis
165,890,adrenergic receptor antagonist,MoA,Launched,cardiology,hypertension|angina pectoris
417,890,adrenergic receptor antagonist,MoA,Launched,cardiology,hypertension|angina pectoris
891,890,adrenergic receptor antagonist,MoA,Launched,cardiology,hypertension|angina pectoris
610,890,adrenergic receptor antagonist,MoA,Launched,cardiology,hypertension|angina pectoris
153,899,norepinephrine transporter inhibitor,MoA,Launched,neurology/psychiatry,attention-deficit/hyperactivity disorder (ADHD)
154,899,norepinephrine transporter inhibitor,MoA,Launched,neurology/psychiatry,attention-deficit/hyperactivity disorder (ADHD)
155,899,norepinephrine transporter inhibitor,MoA,Launched,neurology/psychiatry,attention-deficit/hyperactivity disorder (ADHD)
156,899,norepinephrine transporter inhibitor,MoA,Launched,neurology/psychiatry,attention-deficit/hyperactivity disorder (ADHD)
157,899,norepinephrine transporter inhibitor,MoA,Launched,neurology/psychiatry,attention-deficit/hyperactivity disorder (ADHD)
158,899,norepinephrine transporter inhibitor,MoA,Launched,neurology/psychiatry,attention-deficit/hyperactivity disorder (ADHD)
159,899,norepinephrine transporter inhibitor,MoA,Launched,neurology/psychiatry,attention-deficit/hyperactivity disorder (ADHD)
571,899,norepinephrine transporter inhibitor,MoA,Launched,neurology/psychiatry,attention-deficit/hyperactivity disorder (ADHD)
620,899,norepinephrine transporter inhibitor,MoA,Launched,neurology/psychiatry,attention-deficit/hyperactivity disorder (ADHD)
410,899,norepinephrine transporter inhibitor,MoA,Launched,neurology/psychiatry,attention-deficit/hyperactivity disorder (ADHD)
900,901,HMGCR inhibitor,MoA,Launched,neurology/psychiatry|cardiology,stroke|heart attack
469,901,HMGCR inhibitor,MoA,Launched,neurology/psychiatry|cardiology,stroke|heart attack
477,901,HMGCR inhibitor,MoA,Launched,neurology/psychiatry|cardiology,stroke|heart attack
71,902,oxytocin receptor antagonist,MoA,Launched,neurology/psychiatry|cardiology|endocrinology,stroke|angina pectoris|myocardial infarction|hyperlipidemia
903,902,oxytocin receptor antagonist,MoA,Launched,neurology/psychiatry|cardiology|endocrinology,stroke|angina pectoris|myocardial infarction|hyperlipidemia
904,902,oxytocin receptor antagonist,MoA,Launched,neurology/psychiatry|cardiology|endocrinology,stroke|angina pectoris|myocardial infarction|hyperlipidemia
905,902,oxytocin receptor antagonist,MoA,Launched,neurology/psychiatry|cardiology|endocrinology,stroke|angina pectoris|myocardial infarction|hyperlipidemia
73,909,acetylcholine receptor antagonist,MoA,Launched,ophthalmology,cycloplegia|mydriasis|amblyopia
74,909,acetylcholine receptor antagonist,MoA,Launched,ophthalmology,cycloplegia|mydriasis|amblyopia
75,909,acetylcholine receptor antagonist,MoA,Launched,ophthalmology,cycloplegia|mydriasis|amblyopia
212,916,NFkB pathway inhibitor,MoA,Launched,rheumatology,rheumatoid arthritis
917,916,NFkB pathway inhibitor,MoA,Launched,rheumatology,rheumatoid arthritis
67,916,NFkB pathway inhibitor,MoA,Launched,rheumatology,rheumatoid arthritis
919,920,PKC inhibitor,MoA,Launched,rheumatology,rheumatoid arthritis
23,927,phosphodiesterase inhibitor,MoA,Launched,urology,erectile dysfunction
929,930,thrombopoietin receptor agonist,MoA,Launched,hematology,thrombocytopenia
937,938,PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,MoA,Launched,oncology,renal cell carcinoma (RCC)
939,938,PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,MoA,Launched,oncology,renal cell carcinoma (RCC)
940,938,PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,MoA,Launched,oncology,renal cell carcinoma (RCC)
244,938,PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,MoA,Launched,oncology,renal cell carcinoma (RCC)
941,938,PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,MoA,Launched,oncology,renal cell carcinoma (RCC)
949,950,DNA methyltransferase inhibitor,MoA,Launched,hematologic malignancy|hematology,myelodysplastic diseases (MDS)|anemia|chronic myelomonocytic leukemia (CMMoL)
951,950,DNA methyltransferase inhibitor,MoA,Launched,hematologic malignancy|hematology,myelodysplastic diseases (MDS)|anemia|chronic myelomonocytic leukemia (CMMoL)
7,954,dopamine receptor antagonist,MoA,Launched,neurology/psychiatry,sedative
8,954,dopamine receptor antagonist,MoA,Launched,neurology/psychiatry,sedative
77,956,serotonin receptor antagonist,MoA,Launched,infectious disease,genitial herpes
957,956,serotonin receptor antagonist,MoA,Launched,infectious disease,genitial herpes
97,958,histamine receptor antagonist,MoA,Launched,allergy,allergic rhinitis
959,960,dehydrogenase inhibitor,MoA,Launched,transplant|rheumatology,renal homotransplantation|rheumatoid arthritis
612,960,dehydrogenase inhibitor,MoA,Launched,transplant|rheumatology,renal homotransplantation|rheumatoid arthritis
961,960,dehydrogenase inhibitor,MoA,Launched,transplant|rheumatology,renal homotransplantation|rheumatoid arthritis
1040,1041,tyrosinase inhibitor,MoA,Launched,dermatology,rosacea
1042,1041,tyrosinase inhibitor,MoA,Launched,dermatology,rosacea
801,1041,tyrosinase inhibitor,MoA,Launched,dermatology,rosacea
97,1043,histamine receptor antagonist,MoA,Launched,ophthalmology,conjunctivitis
639,1046,calcium channel blocker,MoA,Launched,cardiology,hypertension
1047,1048,angiotensin receptor antagonist,MoA,Launched,cardiology,hypertension
1049,1048,angiotensin receptor antagonist,MoA,Launched,cardiology,hypertension
1047,1050,angiotensin receptor antagonist,MoA,Launched,cardiology,hypertension
1049,1050,angiotensin receptor antagonist,MoA,Launched,cardiology,hypertension
1052,1053,bacterial 50S ribosomal subunit inhibitor,MoA,Launched,infectious disease,pelvic inflammatory disease|pneumonia
1056,1057,electrolyte reabsorption inhibitor,MoA,Launched,cardiology,edema
1058,1057,electrolyte reabsorption inhibitor,MoA,Launched,cardiology,edema
1075,1076,bacterial cell wall synthesis inhibitor,MoA,Launched,infectious disease,first-aid antibiotic
24,1077,benzodiazepine receptor agonist,MoA,Launched,neurology/psychiatry,multiple sclerosis|spasms
26,1077,benzodiazepine receptor agonist,MoA,Launched,neurology/psychiatry,multiple sclerosis|spasms
1078,1077,benzodiazepine receptor agonist,MoA,Launched,neurology/psychiatry,multiple sclerosis|spasms
1079,1077,benzodiazepine receptor agonist,MoA,Launched,neurology/psychiatry,multiple sclerosis|spasms
1080,1077,benzodiazepine receptor agonist,MoA,Launched,neurology/psychiatry,multiple sclerosis|spasms
1088,1090,beta glucuronidase inhibitor,MoA,Launched,neurology/psychiatry,anxiety
403,1095,cyclooxygenase inhibitor,MoA,Launched,gastroenterology,ulcerative colitis
200,1095,cyclooxygenase inhibitor,MoA,Launched,gastroenterology,ulcerative colitis
174,1095,cyclooxygenase inhibitor,MoA,Launched,gastroenterology,ulcerative colitis
171,1095,cyclooxygenase inhibitor,MoA,Launched,gastroenterology,ulcerative colitis
417,1096,adrenergic receptor agonist,MoA,Launched,pulmonary,asthma
759,1096,adrenergic receptor agonist,MoA,Launched,pulmonary,asthma
969,1106,JAK inhibitor,MoA,Launched,rheumatology,rheumatoid arthritis
369,1106,JAK inhibitor,MoA,Launched,rheumatology,rheumatoid arthritis
354,1128,selective estrogen receptor modulator (SERM),MoA,Launched,orthopedics|endocrinology,osteoporosis|menopause
116,1128,selective estrogen receptor modulator (SERM),MoA,Launched,orthopedics|endocrinology,osteoporosis|menopause
423,1138,glucocorticoid receptor agonist,MoA,Launched,allergy,allergic rhinitis
424,1138,glucocorticoid receptor agonist,MoA,Launched,allergy,allergic rhinitis
1139,1140,glucocorticoid receptor agonist,MoA,Launched,allergy,allergic rhinitis
423,1140,glucocorticoid receptor agonist,MoA,Launched,allergy,allergic rhinitis
247,1142,HDAC inhibitor,MoA,Launched,hematologic malignancy,peripheral T-cell lymphoma (PTCL)
1143,1142,HDAC inhibitor,MoA,Launched,hematologic malignancy,peripheral T-cell lymphoma (PTCL)
1144,1142,HDAC inhibitor,MoA,Launched,hematologic malignancy,peripheral T-cell lymphoma (PTCL)
249,1142,HDAC inhibitor,MoA,Launched,hematologic malignancy,peripheral T-cell lymphoma (PTCL)
250,1142,HDAC inhibitor,MoA,Launched,hematologic malignancy,peripheral T-cell lymphoma (PTCL)
1145,1142,HDAC inhibitor,MoA,Launched,hematologic malignancy,peripheral T-cell lymphoma (PTCL)
1146,1142,HDAC inhibitor,MoA,Launched,hematologic malignancy,peripheral T-cell lymphoma (PTCL)
251,1142,HDAC inhibitor,MoA,Launched,hematologic malignancy,peripheral T-cell lymphoma (PTCL)
1147,1142,HDAC inhibitor,MoA,Launched,hematologic malignancy,peripheral T-cell lymphoma (PTCL)
252,1142,HDAC inhibitor,MoA,Launched,hematologic malignancy,peripheral T-cell lymphoma (PTCL)
1148,1142,HDAC inhibitor,MoA,Launched,hematologic malignancy,peripheral T-cell lymphoma (PTCL)
79,1149,chemoreceptor agonist,MoA,Launched,critical care,poison antidote
407,1153,angiotensin converting enzyme inhibitor,MoA,Launched,cardiology,hypertension
174,1154,cyclooxygenase inhibitor,MoA,Launched,neurology/psychiatry|rheumatology,muscle pain|joint pain
171,1154,cyclooxygenase inhibitor,MoA,Launched,neurology/psychiatry|rheumatology,muscle pain|joint pain
1056,1155,sodium/potassium/chloride transporter inhibitor,MoA,Launched,cardiology,hypertension
1156,1155,sodium/potassium/chloride transporter inhibitor,MoA,Launched,cardiology,hypertension
1044,1163,antioxidant,MoA,Launched,rheumatology,lumbago
639,1164,calcium channel blocker,MoA,Launched,cardiology,hypertension
103,1164,calcium channel blocker,MoA,Launched,cardiology,hypertension
7,1165,dopamine receptor antagonist,MoA,Launched,neurology/psychiatry,schizophrenia
167,1166,antitussive,MoA,Launched,pulmonary,cough suppressant
1167,1168,DOPA decarboxylase inhibitor,MoA,Launched,neurology/psychiatry,Parkinson's Disease
1172,1173,chloride channel blocker,MoA,Launched,rheumatology,gout
55,1174,sodium channel blocker,MoA,Launched,infectious disease,first-aid antiseptic
55,1175,sodium channel blocker,MoA,Launched,infectious disease,first-aid antiseptic
1176,1177,food preservative,MoA,Launched,infectious disease,tinea pedis
1178,1177,food preservative,MoA,Launched,infectious disease,tinea pedis
917,1177,food preservative,MoA,Launched,infectious disease,tinea pedis
1179,1177,food preservative,MoA,Launched,infectious disease,tinea pedis
167,1181,local anesthetic,MoA,Launched,pulmonary,cough suppressant
188,1186,carbonic anhydrase inhibitor,MoA,Launched,cardiology,hypertension|edema
73,1187,acetylcholine receptor antagonist,MoA,Launched,neurology/psychiatry,extrapyramidal symptoms (EPS)|Parkinson's Disease
97,1187,acetylcholine receptor antagonist,MoA,Launched,neurology/psychiatry,extrapyramidal symptoms (EPS)|Parkinson's Disease
620,1187,acetylcholine receptor antagonist,MoA,Launched,neurology/psychiatry,extrapyramidal symptoms (EPS)|Parkinson's Disease
1188,1189,lipase inhibitor,MoA,Launched,allergy,sweet itch
97,1190,histamine receptor antagonist,MoA,Launched,ophthalmology,conjunctivitis
1191,1192,calcium channel blocker,MoA,Launched,cardiology,angina pectoris
97,1204,histamine receptor agonist|histamine receptor antagonist,MoA,Launched,neurology/psychiatry,Meniere's disease
100,1204,histamine receptor agonist|histamine receptor antagonist,MoA,Launched,neurology/psychiatry,Meniere's disease
423,1205,glucocorticoid receptor agonist,MoA,Launched,dermatology,corticosteroid-responsive dermatoses
423,1206,glucocorticoid receptor agonist,MoA,Launched,dermatology,corticosteroid-responsive dermatoses
423,1207,anti-inflammatory agent,MoA,Launched,dermatology,corticosteroid-responsive dermatoses
423,1208,glucocorticoid receptor agonist,MoA,Launched,dermatology,corticosteroid-responsive dermatoses
165,1209,adrenergic receptor antagonist,MoA,Launched,ophthalmology,intraocular pressure|glaucoma|ocular hypertension
417,1209,adrenergic receptor antagonist,MoA,Launched,ophthalmology,intraocular pressure|glaucoma|ocular hypertension
99,1210,histamine receptor agonist,MoA,Launched,gastroenterology,gastric hypersecretion diagnostic
73,1211,acetylcholine receptor agonist,MoA,Launched,urology,urinary retention
74,1211,acetylcholine receptor agonist,MoA,Launched,urology,urinary retention
75,1211,acetylcholine receptor agonist,MoA,Launched,urology,urinary retention
76,1211,acetylcholine receptor agonist,MoA,Launched,urology,urinary retention
617,1214,coagulation factor inhibitor,MoA,Launched,hematology,deep vein thrombosis (DVT)
224,1217,retinoid receptor agonist,MoA,Launched,hematologic malignancy,cutaneous T-cell lymphoma (CTCL)
225,1217,retinoid receptor agonist,MoA,Launched,hematologic malignancy,cutaneous T-cell lymphoma (CTCL)
226,1217,retinoid receptor agonist,MoA,Launched,hematologic malignancy,cutaneous T-cell lymphoma (CTCL)
1218,1219,PPAR receptor agonist,MoA,Launched,cardiology,cholesterol
1220,1219,PPAR receptor agonist,MoA,Launched,cardiology,cholesterol
200,1219,PPAR receptor agonist,MoA,Launched,cardiology,cholesterol
696,1241,androgen receptor antagonist,MoA,Launched,oncology,prostate cancer
1244,1245,NFkB pathway inhibitor,MoA,Launched,infectious disease,hepatitis B|hepatitis C
1246,1245,NFkB pathway inhibitor,MoA,Launched,infectious disease,hepatitis B|hepatitis C
569,1247,acetylcholine release enhancer,MoA,Launched,ophthalmology|neurology/psychiatry,glaucoma|senile dementia
1248,1247,acetylcholine release enhancer,MoA,Launched,ophthalmology|neurology/psychiatry,glaucoma|senile dementia
97,1250,histamine receptor antagonist,MoA,Launched,ophthalmology,conjunctivitis
1252,1253,prostanoid receptor agonist,MoA,Launched,ophthalmology,intraocular pressure|glaucoma|ocular hypertension
394,1253,prostanoid receptor agonist,MoA,Launched,ophthalmology,intraocular pressure|glaucoma|ocular hypertension
396,1253,prostanoid receptor agonist,MoA,Launched,ophthalmology,intraocular pressure|glaucoma|ocular hypertension
1254,1253,prostanoid receptor agonist,MoA,Launched,ophthalmology,intraocular pressure|glaucoma|ocular hypertension
805,1262,MEK inhibitor,MoA,Launched,oncology,melanoma
849,1262,MEK inhibitor,MoA,Launched,oncology,melanoma
73,1277,acetylcholine receptor antagonist,MoA,Launched,neurology/psychiatry,Parkinson's Disease
74,1277,acetylcholine receptor antagonist,MoA,Launched,neurology/psychiatry,Parkinson's Disease
75,1277,acetylcholine receptor antagonist,MoA,Launched,neurology/psychiatry,Parkinson's Disease
76,1277,acetylcholine receptor antagonist,MoA,Launched,neurology/psychiatry,Parkinson's Disease
170,1277,acetylcholine receptor antagonist,MoA,Launched,neurology/psychiatry,Parkinson's Disease
1287,1288,nitric oxide synthase inhibitor,MoA,Launched,gastroenterology,internal deoderant
165,1289,adrenergic receptor antagonist,MoA,Launched,cardiology,hypertension
813,1294,thrombin inhibitor,MoA,Launched,cardiology,angina pectoris
7,1303,dopamine receptor antagonist|serotonin receptor antagonist,MoA,Launched,neurology/psychiatry,schizophrenia
14,1303,dopamine receptor antagonist|serotonin receptor antagonist,MoA,Launched,neurology/psychiatry,schizophrenia
1345,1346,HCV inhibitor,MoA,Launched,infectious disease,hepatitis C
1347,1346,HCV inhibitor,MoA,Launched,infectious disease,hepatitis C
1348,1346,HCV inhibitor,MoA,Launched,infectious disease,hepatitis C
1093,1346,HCV inhibitor,MoA,Launched,infectious disease,hepatitis C
1349,1346,HCV inhibitor,MoA,Launched,infectious disease,hepatitis C
1350,1346,HCV inhibitor,MoA,Launched,infectious disease,hepatitis C
1351,1352,NFkB pathway inhibitor|proteasome inhibitor,MoA,Launched,hematologic malignancy,multiple myeloma|mantle cell lymphoma (MCL)
1353,1352,NFkB pathway inhibitor|proteasome inhibitor,MoA,Launched,hematologic malignancy,multiple myeloma|mantle cell lymphoma (MCL)
1354,1352,NFkB pathway inhibitor|proteasome inhibitor,MoA,Launched,hematologic malignancy,multiple myeloma|mantle cell lymphoma (MCL)
1355,1352,NFkB pathway inhibitor|proteasome inhibitor,MoA,Launched,hematologic malignancy,multiple myeloma|mantle cell lymphoma (MCL)
1356,1352,NFkB pathway inhibitor|proteasome inhibitor,MoA,Launched,hematologic malignancy,multiple myeloma|mantle cell lymphoma (MCL)
1357,1352,NFkB pathway inhibitor|proteasome inhibitor,MoA,Launched,hematologic malignancy,multiple myeloma|mantle cell lymphoma (MCL)
1358,1352,NFkB pathway inhibitor|proteasome inhibitor,MoA,Launched,hematologic malignancy,multiple myeloma|mantle cell lymphoma (MCL)
1359,1352,NFkB pathway inhibitor|proteasome inhibitor,MoA,Launched,hematologic malignancy,multiple myeloma|mantle cell lymphoma (MCL)
1360,1352,NFkB pathway inhibitor|proteasome inhibitor,MoA,Launched,hematologic malignancy,multiple myeloma|mantle cell lymphoma (MCL)
1361,1352,NFkB pathway inhibitor|proteasome inhibitor,MoA,Launched,hematologic malignancy,multiple myeloma|mantle cell lymphoma (MCL)
1362,1352,NFkB pathway inhibitor|proteasome inhibitor,MoA,Launched,hematologic malignancy,multiple myeloma|mantle cell lymphoma (MCL)
1363,1352,NFkB pathway inhibitor|proteasome inhibitor,MoA,Launched,hematologic malignancy,multiple myeloma|mantle cell lymphoma (MCL)
1364,1352,NFkB pathway inhibitor|proteasome inhibitor,MoA,Launched,hematologic malignancy,multiple myeloma|mantle cell lymphoma (MCL)
1365,1352,NFkB pathway inhibitor|proteasome inhibitor,MoA,Launched,hematologic malignancy,multiple myeloma|mantle cell lymphoma (MCL)
1366,1352,NFkB pathway inhibitor|proteasome inhibitor,MoA,Launched,hematologic malignancy,multiple myeloma|mantle cell lymphoma (MCL)
1367,1352,NFkB pathway inhibitor|proteasome inhibitor,MoA,Launched,hematologic malignancy,multiple myeloma|mantle cell lymphoma (MCL)
1368,1352,NFkB pathway inhibitor|proteasome inhibitor,MoA,Launched,hematologic malignancy,multiple myeloma|mantle cell lymphoma (MCL)
1369,1352,NFkB pathway inhibitor|proteasome inhibitor,MoA,Launched,hematologic malignancy,multiple myeloma|mantle cell lymphoma (MCL)
1370,1352,NFkB pathway inhibitor|proteasome inhibitor,MoA,Launched,hematologic malignancy,multiple myeloma|mantle cell lymphoma (MCL)
1371,1352,NFkB pathway inhibitor|proteasome inhibitor,MoA,Launched,hematologic malignancy,multiple myeloma|mantle cell lymphoma (MCL)
1372,1352,NFkB pathway inhibitor|proteasome inhibitor,MoA,Launched,hematologic malignancy,multiple myeloma|mantle cell lymphoma (MCL)
213,1352,NFkB pathway inhibitor|proteasome inhibitor,MoA,Launched,hematologic malignancy,multiple myeloma|mantle cell lymphoma (MCL)
238,1373,endothelin receptor antagonist,MoA,Launched,pulmonary,pulmonary arterial hypertension (PAH)
240,1373,endothelin receptor antagonist,MoA,Launched,pulmonary,pulmonary arterial hypertension (PAH)
301,1374,Abl kinase inhibitor|Bcr-Abl kinase inhibitor|SRC inhibitor,MoA,Launched,hematologic malignancy,chronic myeloid leukemia (CML)
1083,1374,Abl kinase inhibitor|Bcr-Abl kinase inhibitor|SRC inhibitor,MoA,Launched,hematologic malignancy,chronic myeloid leukemia (CML)
1375,1374,Abl kinase inhibitor|Bcr-Abl kinase inhibitor|SRC inhibitor,MoA,Launched,hematologic malignancy,chronic myeloid leukemia (CML)
1376,1374,Abl kinase inhibitor|Bcr-Abl kinase inhibitor|SRC inhibitor,MoA,Launched,hematologic malignancy,chronic myeloid leukemia (CML)
371,1374,Abl kinase inhibitor|Bcr-Abl kinase inhibitor|SRC inhibitor,MoA,Launched,hematologic malignancy,chronic myeloid leukemia (CML)
1377,1374,Abl kinase inhibitor|Bcr-Abl kinase inhibitor|SRC inhibitor,MoA,Launched,hematologic malignancy,chronic myeloid leukemia (CML)
1378,1374,Abl kinase inhibitor|Bcr-Abl kinase inhibitor|SRC inhibitor,MoA,Launched,hematologic malignancy,chronic myeloid leukemia (CML)
1379,1374,Abl kinase inhibitor|Bcr-Abl kinase inhibitor|SRC inhibitor,MoA,Launched,hematologic malignancy,chronic myeloid leukemia (CML)
1084,1374,Abl kinase inhibitor|Bcr-Abl kinase inhibitor|SRC inhibitor,MoA,Launched,hematologic malignancy,chronic myeloid leukemia (CML)
805,1374,Abl kinase inhibitor|Bcr-Abl kinase inhibitor|SRC inhibitor,MoA,Launched,hematologic malignancy,chronic myeloid leukemia (CML)
849,1374,Abl kinase inhibitor|Bcr-Abl kinase inhibitor|SRC inhibitor,MoA,Launched,hematologic malignancy,chronic myeloid leukemia (CML)
1380,1374,Abl kinase inhibitor|Bcr-Abl kinase inhibitor|SRC inhibitor,MoA,Launched,hematologic malignancy,chronic myeloid leukemia (CML)
1381,1374,Abl kinase inhibitor|Bcr-Abl kinase inhibitor|SRC inhibitor,MoA,Launched,hematologic malignancy,chronic myeloid leukemia (CML)
1054,1374,Abl kinase inhibitor|Bcr-Abl kinase inhibitor|SRC inhibitor,MoA,Launched,hematologic malignancy,chronic myeloid leukemia (CML)
1382,1374,Abl kinase inhibitor|Bcr-Abl kinase inhibitor|SRC inhibitor,MoA,Launched,hematologic malignancy,chronic myeloid leukemia (CML)
1383,1374,Abl kinase inhibitor|Bcr-Abl kinase inhibitor|SRC inhibitor,MoA,Launched,hematologic malignancy,chronic myeloid leukemia (CML)
1384,1374,Abl kinase inhibitor|Bcr-Abl kinase inhibitor|SRC inhibitor,MoA,Launched,hematologic malignancy,chronic myeloid leukemia (CML)
330,1374,Abl kinase inhibitor|Bcr-Abl kinase inhibitor|SRC inhibitor,MoA,Launched,hematologic malignancy,chronic myeloid leukemia (CML)
1385,1374,Abl kinase inhibitor|Bcr-Abl kinase inhibitor|SRC inhibitor,MoA,Launched,hematologic malignancy,chronic myeloid leukemia (CML)
1316,1399,melanocortin receptor agonist,MoA,Launched,neurology/psychiatry,hypoactive sexual desire disorder
1400,1399,melanocortin receptor agonist,MoA,Launched,neurology/psychiatry,hypoactive sexual desire disorder
1401,1399,melanocortin receptor agonist,MoA,Launched,neurology/psychiatry,hypoactive sexual desire disorder
1402,1399,melanocortin receptor agonist,MoA,Launched,neurology/psychiatry,hypoactive sexual desire disorder
1403,1399,melanocortin receptor agonist,MoA,Launched,neurology/psychiatry,hypoactive sexual desire disorder
463,1407,norepinephrine inhibitor,MoA,Launched,cardiology,ventricular arrhythmias|ventricular fibrillation (VF)|ventricular tachycardia (VT)
7,1408,dopamine receptor partial agonist,MoA,Launched,neurology/psychiatry,depression|schizophrenia
309,1410,ALK tyrosine kinase receptor inhibitor|EGFR inhibitor,MoA,Launched,oncology,non-small cell lung cancer (NSCLC)
346,1410,ALK tyrosine kinase receptor inhibitor|EGFR inhibitor,MoA,Launched,oncology,non-small cell lung cancer (NSCLC)
1,1411,adrenergic receptor agonist,MoA,Launched,ophthalmology,intraocular pressure|glaucoma|ocular hypertension
3,1411,adrenergic receptor agonist,MoA,Launched,ophthalmology,intraocular pressure|glaucoma|ocular hypertension
4,1411,adrenergic receptor agonist,MoA,Launched,ophthalmology,intraocular pressure|glaucoma|ocular hypertension
185,1412,carbonic anhydrase inhibitor,MoA,Launched,ophthalmology,intraocular pressure|glaucoma|ocular hypertension
186,1412,carbonic anhydrase inhibitor,MoA,Launched,ophthalmology,intraocular pressure|glaucoma|ocular hypertension
187,1412,carbonic anhydrase inhibitor,MoA,Launched,ophthalmology,intraocular pressure|glaucoma|ocular hypertension
188,1412,carbonic anhydrase inhibitor,MoA,Launched,ophthalmology,intraocular pressure|glaucoma|ocular hypertension
190,1412,carbonic anhydrase inhibitor,MoA,Launched,ophthalmology,intraocular pressure|glaucoma|ocular hypertension
1413,1412,carbonic anhydrase inhibitor,MoA,Launched,ophthalmology,intraocular pressure|glaucoma|ocular hypertension
191,1412,carbonic anhydrase inhibitor,MoA,Launched,ophthalmology,intraocular pressure|glaucoma|ocular hypertension
326,1426,muscle relaxant,MoA,Launched,rheumatology,lumbago
45,1428,dopamine receptor agonist,MoA,Launched,endocrinology|neurology/psychiatry,hyperprolactinemia|Parkinson's Disease|acromegaly
47,1428,dopamine receptor agonist,MoA,Launched,endocrinology|neurology/psychiatry,hyperprolactinemia|Parkinson's Disease|acromegaly
48,1428,dopamine receptor agonist,MoA,Launched,endocrinology|neurology/psychiatry,hyperprolactinemia|Parkinson's Disease|acromegaly
1,1428,dopamine receptor agonist,MoA,Launched,endocrinology|neurology/psychiatry,hyperprolactinemia|Parkinson's Disease|acromegaly
3,1428,dopamine receptor agonist,MoA,Launched,endocrinology|neurology/psychiatry,hyperprolactinemia|Parkinson's Disease|acromegaly
4,1428,dopamine receptor agonist,MoA,Launched,endocrinology|neurology/psychiatry,hyperprolactinemia|Parkinson's Disease|acromegaly
6,1428,dopamine receptor agonist,MoA,Launched,endocrinology|neurology/psychiatry,hyperprolactinemia|Parkinson's Disease|acromegaly
